121,3,حي الفوطة,Al Futah Dist.
122,3,حي ام سليم,Umm Saleem Dist.
123,3,حي الصحافة,Al Sahafah Dist.
124,3,حي الرائد,Al Raed Dist.
125,3,حي العريجاء الغربي,West Oraija Dist.
126,3,حي العريجاء,Al Uraija Dist.
127,3,حي العريجاء الوسطى,Middle Oraija Dist.
128,3,حي الحمراء,Al Hamra Dist.
129,3,حي الدار البيضاء,Al Dar Al Baida Dist.
130,3,حي البطيحا,Al Butaiha Dist.
131,3,حي الزهراء,Al Zahra Dist.
132,3,حي الفيحاء,Al Fayha Dist.
133,3,حي المؤتمرات,Al Mutamarat Dist.
134,3,حي الوسيطاء,Al Wusayta Dist.
135,3,حي الجنادرية,Al Janadriyah Dist.
136,3,حي اشبيلية,Ishbiliyah Dist.
137,3,حي المعيزلة,Al Maizalah Dist.
138,3,حي اليرموك,Al Yarmuk Dist.
139,3,حي المونسية,Al Munisiyah Dist.
140,3,حي الخزامى,Al Khuzama Dist.
141,3,عرقة,Irqah
142,3,حي ظهرة لبن,Dhahrat Laban Dist.
143,3,حي حطين,Hiteen Dist.
144,3,حي الملقا,Al Malqa Dist.
145,3,حي القيروان,Al Qairawan Dist.
146,3,حي الياسمين,Al Yasmeen Dist.
147,3,حي العارض,Al Arid Dist.
148,3,مطار الملك خالد,King Khalid International Airport
149,3,حي النرجس,Al Narjis Dist.
150,3,جامعة الامام محمد بن سعود الاسلامية,Imam Muhammed Bin Saud Islamic University
151,3,حي بنبان,Banban Dist.
152,3,حي الرمال,Al Rimal Dist.
153,3,حي غرناطة,Ghirnatah Dist.
154,3,حي الدحو,Al Dahou Dist.
155,3,حي العماجية,Al Ammajiyah Dist.
156,3,حي هيت,Hyt Dist.
157,3,حي الحائر,Al Haer Dist.
158,3,حي ام الشعال,Umm Al Shaal Dist.
159,3,حي الغنامية,Al Ghannamiyah Dist.
160,3,حي عريض,Oraid Dist.
161,3,حي بدر,Badr Dist.
162,3,حي المهدية,Al Mahdiyah Dist.
163,3,جامعة الملك سعود,King Saud University
164,3,حي النسيم الغربي,West Naseem Dist.
165,3,حي المشاعل,Al Mishael Dist.
166,3,حي الندوة,Al Nadwah Dist.
167,3,حي الرابية,Al Rabiyah Dist.
168,3,حي وادي لبن,Wady Laban Dist.
169,3,حي السدرة,Al Sidrah Dist.
170,3,حي التضامن,Al Tadamun Dist.
171,3,مدينة الملك عبدالله للطاقة,King Abdullah City For Energy
172,3,حي البساتين,Al Basatin Dist.
173,3,حي الرحاب,Al Rehab Dist.
174,3,حي المجد,Al Majd Dist.
175,3,حي الدانة,Al Danah Dist.
176,3,حي الرسالة,Al Risalah Dist.
177,3,حي الخير,Al Khair Dist.
178,3,حي الفرسان,Al Fursan Dist.
179,3,حي الشعلة,Al Sholah Dist.
180,3,حي الراية,Al Rayah Dist.
181,3,حي الزهور,Al Zahour Dist.
182,3,حي الزاهر,Al Zaher Dist.
183,3,حي المرجان,Al Marjan Dist.
184,3,حي البيان,Al Bayan Dist.
185,3,حي العلا,Al Ula Dist.
186,3,حي المشرق,Al Mashriq Dist.
187,3,حي النخبة,Al Nakhbah Dist.
188,3,حي السحاب,Al Sahab Dist.
189,3,حي الوسام,Al Wasam Dist.
190,24,حي المرقب,Al Marqab Dist.
191,24,حي اليرموك,Al Yarmuk Dist.
192,24,حي الفيحاء,Al Fayha Dist.
193,24,حي الملك فهد,King Fahd Dist.
194,24,حي الملك سلمان,King Salman Dist.
195,24,حي الملك عبدالعزيز,King Abdulaziz Dist.
196,24,حي الاندلس,Al Andalus Dist.
197,24,حي المطار,Al Matar Dist.
198,24,حي الملك عبدالله,King Abdullah Dist.
199,24,المنطقة الصناعية,Industrial Area
200,24,حي الجامعيين,Al Jamiyin Dist.
201,24,حي المروج,Al Muruj Dist.
202,24,حي المستقبل,Al Mustaqbal Dist.
203,153,حي البصيرة,Al Basirah Dist.
204,153,حي الروضة,Ar Rawdah Dist.
205,153,حي الرفيعة,Ar Rafiah Dist.
206,162,حي البلد القديمة,Al Balad Al Qadimah Dist.
207,162,حي الملك فهد,King Fahd Dist.
208,162,حي السمرية,Al Samriyah Dist.
209,162,حي القري,Al Qari Dist.
210,162,حي الصناعية,Industrial Dist.
211,162,حي الملك فيصل,King Faisal Dist.
212,162,حي المرقب,Al Marqab Dist.
213,162,حي شراف,Shiraf Dist.
214,162,حي النموذجية,An Namudhajiyah Dist.
215,162,حي الجزر,Al Jazur Dist.
216,162,حي الصناعية الجديدة,New Industrial Dist.
217,162,حي الشعيبة,Al Shuaibah Dist.
218,162,حي الوسطة,Al Wusta Dist.
219,162,حي الشمالية,Al Shamalia Dist.
220,165,حي الياسمين,Al Yasmin Dist.
221,165,حي الشبيلية,Ash Shibilyah Dist.
222,165,حي العزيزية,Al Aziziyah Dist.
223,165,حي الربعة,Ar Rabah Dist.
224,165,حي الدوائر الحكومية,Goverment Departments Dist.
225,165,حي القادسية,Al Qadisiyah Dist.
226,165,حي بدر,Badr Dist.
227,165,حي الشفا,Ash Shifa Dist.
228,165,حي النزهة,An Nuzhah Dist.
229,165,حي المصيف,Al Masif Dist.
230,165,حي الحلة الطالعية,Al Halah At Taliyah Dist.
231,165,حي الفتح,Al Fath Dist.
232,165,حي النخيل,Al Nakhil Dist.
233,165,حي المروج,Al Muruj Dist.
234,165,حي اليرموك,Al Yarmuk Dist.
235,165,حي النهضة,An Nahdah Dist.
236,165,حي الزهور,Az Zuhur Dist.
237,167,مدينة سدير للصناعة والأعمال,Sudair Industrial And Business City
238,167,حي الملك عبدالله,King Abdullah Dist.
239,167,حي الملك سعود,King Saud Dist.
240,167,حي النهضة,An Nahdah Dist.
241,167,حي الملك فهد,King Fahd Dist.
242,167,حي الخالدية,Al Khalidiyah Dist.
243,167,حي الخليج,Al Khalij Dist.
244,167,حي منتزه,Muntazah Dist.
245,167,حي العزيزية,Al Aziziyah Dist.
246,167,حي الملك فيصل,King Faisal Dist.
247,167,حي الياسمين,Al Yasmin Dist.
248,167,حي الروضة,Ar Rawdah Dist.
249,167,حي اليرموك,Al Yarmuk Dist.
250,167,حي الملك عبدالعزيز,King Abdulaziz Dist.
251,167,حي صناعية تمير,Tumair Industrial Dist.
252,168,حي سلطانة,Sultanah Dist.
253,168,حي الفيحاء,Al Fayha Dist.
254,168,حي الروضه,Ar Rawdah Dist.
255,168,حي السعاده,Al Saadah Dist.
256,168,حي النهضه,Al Nahdah Dist.
257,168,حي الورود,Al Wurud Dist.
258,168,حي الأندلس,Al Andalus Dist.
259,168,حي الفيصلية,Al Faisaliyah Dist.
260,168,حي المصيف,Al Masif Dist.
261,168,حي الخليج,Al Khalij Dist.
262,168,حي النخيل,Al Nakhil Dist.
263,168,حي الغدير,Al Ghadir Dist.
264,270,حي حطين,Hiteen Dist.
